import time: self [us] | cumulative | imported package
import time:       898 |        898 |               rich.markup
import time:       275 |        275 |               rich.pager
import time:       341 |        341 |               rich.region
import time:       404 |        404 |                   rich.box
import time:       345 |        345 |                   rich.padding
import time:       445 |       1193 |                 rich.panel
import time:       351 |        351 |                   rich._ratio
import time:      2670 |       3020 |                 rich.table
import time:       328 |       4541 |               rich.scope
import time:       231 |        231 |               rich.screen
import time:       199 |        199 |               rich.styled
import time:      4508 |      13525 |             rich.console
import time:       255 |        255 |                 pygments
import time:      1696 |       1696 |                 pygments.lexers._mapping
import time:       521 |        521 |                 pygments.modeline
import time:       232 |        232 |                 pygments.plugin
import time:       921 |        921 |                 pygments.util
import time:       638 |       4261 |               pygments.lexers
import time:       496 |        496 |               pygments.token
import time:       516 |        516 |               rich.columns
import time:       222 |        222 |                   pygments.filter
import time:       670 |        670 |                   pygments.filters
import time:       293 |        293 |                   pygments.regexopt
import time:      1093 |       2276 |                 pygments.lexer
import time:       429 |        429 |                 pygments.style
import time:       409 |        409 |                   pygments.styles._mapping
import time:       310 |        719 |                 pygments.styles
import time:      1772 |       5194 |               rich.syntax
import time:      3963 |      14428 |             rich.traceback
import time:      4215 |      78487 |           structlog.dev
import time:       247 |        247 |                 structlog._base
import time:       521 |        767 |               structlog._native
import time:       443 |        443 |               structlog._output
import time:       648 |       1857 |             structlog._config
import time:      1163 |       3020 |           structlog.stdlib
import time:       669 |        669 |           structlog.testing
import time:      1679 |       1679 |                 greenlet._greenlet
import time:       387 |       2065 |               greenlet
import time:       203 |       2268 |             structlog._greenlets
import time:       366 |       2634 |           structlog.threadlocal
import time:       224 |        224 |           structlog.types
import time:       185 |        185 |           structlog._generic
import time:       117 |        117 |               twisted
import time:        65 |        181 |             twisted.python
import time:       261 |        442 |           structlog.twisted
import time:       761 |      87683 |         structlog
import time:        33 |      87715 |       structlog.stdlib
import time:       181 |        181 |         src.infrastructure.config
import time:     31249 |      31249 |                 gettext
import time:      1626 |      32874 |               argparse
import time:      1775 |       1775 |                   dotenv.parser
import time:       585 |        585 |                   dotenv.variables
import time:       937 |       3296 |                 dotenv.main
import time:       413 |       3709 |               dotenv
import time:       293 |        293 |                 pydantic._internal._dataclasses
import time:       435 |        728 |               pydantic.dataclasses
import time:       167 |        167 |               pydantic_settings.utils
import time:      4766 |      42242 |             pydantic_settings.sources
import time:      1462 |      43703 |           pydantic_settings.main
import time:       163 |        163 |           pydantic_settings.version
import time:       335 |      44200 |         pydantic_settings
import time:     12479 |      56859 |       src.infrastructure.config.settings
import time:       409 |     145491 |     src.infrastructure.app.resources
import time:       210 |        210 |         src.infrastructure.db
import time:      3547 |       3547 |           src.domain.project_plane.client_views
import time:       457 |       4003 |         src.infrastructure.db.repositories.client_repository
import time:      1287 |       1287 |           src.domain.project_plane.event_views
import time:       186 |        186 |             src.infrastructure.logging
import time:       384 |        570 |           src.infrastructure.logging.logger
import time:       412 |       2267 |         src.infrastructure.db.repositories.event_repository
import time:      3816 |       3816 |           src.domain.project_plane.knowledge_views
import time:       172 |        172 |             src.infrastructure.llm
import time:       416 |        587 |           src.infrastructure.llm.embedding_service
